RCID,Lat,Lon
RC215342,51.40642,-0.68405
RC215343,51.39743,-0.68431
RC215344,51.38843,-0.68457
RC215345,51.37944,-0.68483
RC215346,51.37044,-0.68509
RC215347,51.36145,-0.68534
RC214512,51.27182,-0.7166
RC215348,51.35245,-0.6856
RC214930,51.35262,-0.69997
RC214503,51.35277,-0.71433
RC214504,51.34378,-0.71459
RC214077,51.34394,-0.72895
RC214078,51.33494,-0.7292
RC213651,51.3351,-0.74356
RC213220,51.33525,-0.75792
RC213221,51.32625,-0.75816
RC213222,51.31726,-0.75841
RC213653,51.31711,-0.74405
RC213654,51.30811,-0.7443
RC214082,51.29896,-0.73019
RC214083,51.28997,-0.73044
RC214510,51.28981,-0.71609
RC214511,51.28082,-0.71634
RC100862,51.64925,-3.32393
RC100114,51.64909,-3.33839
RC100113,51.65808,-3.33865
RC099361,51.65792,-3.35312
RC099360,51.66691,-3.35338
RC098612,51.66675,-3.36785
RC098611,51.67574,-3.36812
RC097876,51.68456,-3.38286
RC097150,51.68439,-3.39733
RC096424,51.69321,-3.41208
RC213473,52.93593,-0.69769
RC213900,52.93576,-0.6828
RC213899,52.94475,-0.68253
RC214326,52.94459,-0.66764
RC214325,52.95358,-0.66737
RC214751,52.9624,-0.6522
RC214750,52.9714,-0.65192
RC215168,52.97123,-0.63702
RC161804,52.15138,-2.16868
RC161803,52.16037,-2.16872
RC250238,51.14437,0.88229
RC250488,51.14401,0.89658
RC250487,51.153,0.89714
RC251209,51.19685,0.94287
RC251208,51.20584,0.94344
RC251207,51.21483,0.94402
RC251447,51.21446,0.95832
RC251446,51.22345,0.9589
RC251673,51.22309,0.97321
RC251672,51.23207,0.97379
RC251671,51.24106,0.97437
RC251886,51.24968,0.98927
RC252100,51.24931,1.00359
RC252099,51.25829,1.00417
RC252313,51.25792,1.01849
RC252527,51.25755,1.03281
RC252953,51.27478,1.06265
RC253162,51.28338,1.07758
RC253366,51.29199,1.09251
RC253570,51.30059,1.10744
RC254564,51.31664,1.18035
RC254766,51.31625,1.19468
RC254765,51.32523,1.19531
RC254965,51.32484,1.20965
RC255364,51.33303,1.23896
RC255759,51.33223,1.26764
RC255953,51.33183,1.28198
RC256141,51.33143,1.29632
RC256507,51.33061,1.325
RC256686,51.33021,1.33934
RC256865,51.3298,1.35367
RC257044,51.32938,1.36801
RC257043,51.33837,1.36867
RC257222,51.33795,1.38301
RC257400,51.33754,1.39735
RC126456,53.35355,-2.88
RC132838,52.70684,-2.74844
RC122482,53.46987,-2.95778
RC142290,51.51146,-2.55565
RC142289,51.52045,-2.55576
RC141519,51.52038,-2.57018
RC140753,51.52031,-2.5846
RC139982,51.52024,-2.59903
RC139983,51.51124,-2.59891
RC139212,51.51117,-2.61333
RC138437,51.51109,-2.62775
RC137662,51.51102,-2.64216
RC136883,51.51094,-2.65658
RC136882,51.51993,-2.65671
RC136103,51.51985,-2.67113
RC136102,51.52885,-2.67127
RC135324,51.52876,-2.68569
RC233857,51.4863,0.0245
RC190737,53.40043,-1.4361
RC221522,51.35883,-0.46982
RC221523,51.34984,-0.47012
RC221122,51.35003,-0.48449
RC189266,53.05888,-1.48537
RC189265,53.06787,-1.48526
RC188767,53.06793,-1.50019
RC188766,53.07693,-1.50009
RC188765,53.08592,-1.49999
RC188267,53.08598,-1.51493
RC188764,53.09492,-1.49988
RC188266,53.09498,-1.51483
RC187741,53.09504,-1.52977
RC187740,53.10403,-1.52967
RC187219,53.10409,-1.54462
RC187218,53.11308,-1.54452
RC186691,53.12213,-1.55938
RC186690,53.13113,-1.55929
RC186689,53.14012,-1.5592
RC089400,56.09638,-3.71367
RC089401,56.08739,-3.71327
RC088659,56.07818,-3.72894
RC111063,55.94019,-3.24212
RC174955,52.50225,-1.87518
RC174954,52.51125,-1.87516
RC175567,52.51123,-1.86041
RC176157,52.52021,-1.84564
RC176156,52.5292,-1.84561
RC176747,52.52918,-1.83086
RC176746,52.53818,-1.83082
RC176745,52.54717,-1.83079
RC176744,52.55617,-1.83075
RC176743,52.56516,-1.83072
RC177330,52.56514,-1.81595
RC177329,52.57414,-1.81592
RC176742,52.57416,-1.83068
RC176741,52.58315,-1.83065
RC176740,52.59215,-1.83061
RC176149,52.59217,-1.84539
RC176148,52.60116,-1.84535
RC176147,52.61016,-1.84532
RC176146,52.61915,-1.84529
RC176145,52.62815,-1.84526
RC176143,52.64614,-1.8452
RC176142,52.65513,-1.84516
RC176733,52.65511,-1.83037
RC176732,52.66411,-1.83034
RC176731,52.6731,-1.8303
RC096423,51.70221,-3.41236
RC148697,54.96559,-2.4616
RC136100,51.54684,-2.67153
RC164451,53.49164,-2.11362
RC196617,52.89581,-1.26417
RC197088,52.89572,-1.2493
RC164844,57.15094,-2.10806
RC164843,57.15993,-2.10809
RC164842,57.16892,-2.10811
RC164144,57.16891,-2.12466
RC163445,57.17788,-2.14124
RC163446,57.16889,-2.14121
RC162747,57.17786,-2.15779
RC162045,57.17783,-2.17434
RC162044,57.18682,-2.17439
RC162043,57.19581,-2.17443
RC161341,57.19579,-2.19099
RC161340,57.20477,-2.19104
RC161339,57.21376,-2.19108
RC160637,57.21374,-2.20765
RC160636,57.22272,-2.2077
RC159938,57.2227,-2.22427
RC159240,57.22266,-2.24084
RC159239,57.23165,-2.2409
RC158536,57.23162,-2.25748
RC157833,57.23159,-2.27405
RC157130,57.23155,-2.29063
RC156427,57.23151,-2.3072
RC156428,57.22252,-2.30713
RC155725,57.22248,-2.3237
RC155724,57.23147,-2.32378
RC155012,57.23142,-2.34035
RC155011,57.24041,-2.34044
RC154299,57.24036,-2.35702
RC154298,57.24935,-2.3571
RC154297,57.25834,-2.35719
RC153585,57.25829,-2.37378
RC153584,57.26728,-2.37387
RC154296,57.26733,-2.35728
RC154295,57.27632,-2.35736
RC153583,57.27627,-2.37396
RC152869,57.29419,-2.39075
RC152148,57.29414,-2.40735
RC152147,57.30313,-2.40745
RC151426,57.30307,-2.42406
RC151425,57.31206,-2.42416
RC150703,57.32099,-2.44088
RC149969,57.32093,-2.45749
RC149231,57.32087,-2.47411
RC148488,57.32081,-2.49072
RC147745,57.32074,-2.50734
RC147002,57.32067,-2.52395
RC146246,57.3206,-2.54057
RC145490,57.32053,-2.55719
RC144733,57.32944,-2.57394
RC143971,57.32937,-2.59056
RC143209,57.32929,-2.60718
RC143208,57.33827,-2.60733
RC142438,57.33819,-2.62395
RC141668,57.33811,-2.64057
RC140898,57.33802,-2.65719
RC140127,57.33794,-2.67382
RC140126,57.34692,-2.67398
RC139355,57.34683,-2.69061
RC138579,57.35573,-2.70741
RC137804,57.35563,-2.72404
RC137020,57.35554,-2.74067
RC136241,57.35544,-2.7573
RC135463,57.35534,-2.77393
RC135462,57.36432,-2.77412
RC134684,57.36422,-2.79075
RC134683,57.37321,-2.79094
RC134682,57.3822,-2.79114
RC134681,57.39118,-2.79133
RC134680,57.40017,-2.79152
RC134679,57.40916,-2.79172
RC134678,57.41814,-2.79191
RC134677,57.42713,-2.79211
RC134676,57.43612,-2.7923
RC135454,57.43622,-2.77563
RC135453,57.44521,-2.77582
RC136230,57.4543,-2.75934
RC136229,57.46328,-2.75953
RC136228,57.47227,-2.75971
RC136227,57.48126,-2.7599
RC136226,57.49024,-2.76009
RC135448,57.49014,-2.77678
RC135447,57.49913,-2.77697
RC134669,57.49903,-2.79366
RC134668,57.50801,-2.79386
RC133889,57.51689,-2.81076
RC133102,57.53476,-2.82787
RC133101,57.54374,-2.82807
RC132309,57.54363,-2.84479
RC131517,57.54352,-2.8615
RC129933,57.54329,-2.89493
RC129932,57.55227,-2.89515
RC129144,57.55216,-2.91187
RC128356,57.55203,-2.92859
RC127568,57.55191,-2.94531
RC097335,57.6262,-3.60076
RC098061,57.62641,-3.58401
RC098795,57.62662,-3.56726
RC100294,57.63602,-3.53414
RC101042,57.63622,-3.51738
RC101790,57.63642,-3.50063
RC102541,57.63662,-3.48388
RC103292,57.63681,-3.46712
RC104039,57.63701,-3.45037
RC104791,57.6372,-3.43361
RC105547,57.63739,-3.41686
RC105546,57.64637,-3.41721
RC106302,57.64656,-3.40045
RC106303,57.63757,-3.4001
RC107059,57.63776,-3.38335
RC108576,57.63812,-3.34984
RC109342,57.6383,-3.33308
RC110874,57.63865,-3.29957
RC111631,57.63882,-3.28281
RC112415,57.63899,-3.26605
RC113199,57.63915,-3.2493
RC113200,57.63017,-3.24899
RC113984,57.63033,-3.23224
RC114789,57.63049,-3.21548
RC115594,57.63065,-3.19873
RC116407,57.63081,-3.18198
RC116408,57.62183,-3.18168
RC116409,57.61284,-3.18139
RC117224,57.613,-3.16465
RC117225,57.60401,-3.16436
RC117226,57.59502,-3.16407
RC117227,57.58604,-3.16379
RC117228,57.57705,-3.1635
RC118034,57.56822,-3.14649
RC118035,57.55923,-3.1462
RC118036,57.55025,-3.14592
RC118846,57.5504,-3.12921
RC119652,57.55055,-3.11249
RC120454,57.55069,-3.09577
RC121262,57.54185,-3.07879
RC122060,57.54199,-3.06207
RC122853,57.53315,-3.0451
RC123640,57.54227,-3.02865
RC123641,57.53328,-3.02839
RC124419,57.53342,-3.01168
RC125999,57.54267,-2.9785
RC070451,57.48242,-4.19541
RC095882,57.60781,-3.63345
RC095154,57.60759,-3.65019
RC094430,57.59839,-3.66651
RC093696,57.59816,-3.68325
RC092967,57.59794,-3.69998
RC092227,57.58873,-3.71629
RC091479,57.5885,-3.73302
RC091478,57.59749,-3.73345
RC090734,57.59725,-3.75019
RC089972,57.59702,-3.76692
RC089233,57.59679,-3.78365
RC087744,57.58733,-3.81667
RC087006,57.58709,-3.8334
RC086263,57.58684,-3.85013
RC085524,57.5866,-3.86686
RC085525,57.57761,-3.8664
RC084781,57.57736,-3.88312
RC084033,57.57711,-3.89984
RC084034,57.56813,-3.89938
RC082523,57.56762,-3.93281
RC082524,57.55864,-3.93234
RC081762,57.55838,-3.94905
RC081005,57.55813,-3.96577
RC080244,57.55786,-3.98248
RC080245,57.54888,-3.98199
RC079484,57.54862,-3.9987
RC078719,57.54835,-4.01541
RC077954,57.54808,-4.03212
RC077955,57.5391,-4.03162
RC077198,57.53883,-4.04832
RC077199,57.52985,-4.04782
RC076442,57.52958,-4.06452
RC075686,57.52032,-4.08071
RC074928,57.52005,-4.0974
RC074929,57.51106,-4.09689
RC074174,57.51079,-4.11358
RC073424,57.51051,-4.13027
RC073425,57.50152,-4.12975
RC072682,57.50124,-4.14643
RC071940,57.49197,-4.16259
RC071197,57.49169,-4.17927
RC071198,57.48271,-4.17873
RC226906,51.52689,-0.26223
RC226528,51.5271,-0.27665
RC226150,51.52732,-0.29107
RC225771,51.53652,-0.30515
RC225393,51.53672,-0.31957
RC225006,51.53693,-0.334
RC224619,51.53713,-0.34842
RC224618,51.54613,-0.34809
RC224231,51.54633,-0.36252
RC223844,51.54653,-0.37694
RC223843,51.55552,-0.37662
RC223456,51.55572,-0.39105
RC046115,55.46889,-4.62045
RC046818,55.47821,-4.60523
RC047510,55.47854,-4.58942
RC048197,55.47888,-4.5736
RC048196,55.48786,-4.57419
RC048888,55.48819,-4.55837
RC049588,55.48852,-4.54255
RC050301,55.48885,-4.52673
RC051019,55.48917,-4.5109
RC051744,55.4895,-4.49508
RC052469,55.48982,-4.47926
RC053193,55.49912,-4.464
RC053928,55.49944,-4.44817
RC053927,55.50842,-4.44873
RC054662,55.50874,-4.4329
RC054661,55.51772,-4.43346
RC055391,55.51803,-4.41762
RC056112,55.51835,-4.40179
RC056834,55.50967,-4.38541
RC249246,51.02894,0.81803
RC249247,51.01995,0.81748
RC249500,51.01961,0.83173
RC249501,51.01062,0.83118
RC191575,54.91096,-1.38397
RC065450,55.82766,-4.2131
RC061764,55.86213,-4.29502
RC038895,55.64464,-4.80714
RC226532,51.49113,-0.27801
RC250239,51.13538,0.88173
RC250240,51.12639,0.88117
RC250241,51.11741,0.88061
RC250242,51.10842,0.88005
RC250244,51.09045,0.87894
RC249995,51.08182,0.86411
RC249996,51.07283,0.86355
RC249747,51.07318,0.84929
RC249748,51.06419,0.84874
RC249749,51.05521,0.84819
RC249496,51.05555,0.83393
RC249497,51.04657,0.83338
RC249245,51.03793,0.81857
RC248993,51.02928,0.80377
RC248994,51.0203,0.80323
RC248995,51.01131,0.80269
RC248245,50.95841,0.75675
RC247991,50.95874,0.74252
RC247736,50.95009,0.72776
RC246962,50.9331,0.68403
RC246188,50.92509,0.64085
RC245930,50.92541,0.62663
RC245667,50.92573,0.6124
RC245668,50.91674,0.6119
RC245669,50.90775,0.6114
RC245670,50.89876,0.61089
RC245671,50.88977,0.61039
RC245672,50.88079,0.60989
RC245409,50.87211,0.59518
RC245410,50.86313,0.59468
RC245146,50.86344,0.58047
RC245147,50.85445,0.57998
RC230160,51.47095,-0.13468
RC231188,51.46126,-0.09186
RC231187,51.47025,-0.09148
RC231521,51.47002,-0.07708
RC230509,51.46172,-0.12065
RC230161,51.46195,-0.13505
RC226907,51.5179,-0.26257
RC062496,55.84446,-4.278
RC061765,55.85314,-4.29449
RC061766,55.84416,-4.29396
RC061035,55.85284,-4.31046
RC060305,55.85254,-4.32644
RC059597,55.85224,-4.34241
RC058889,55.85193,-4.35838
RC058193,55.86061,-4.37489
RC057493,55.8603,-4.39087
RC057494,55.85132,-4.39032
RC056796,55.85101,-4.40629
RC056075,55.85069,-4.42225
RC055354,55.85038,-4.43822
RC054624,55.85006,-4.45419
RC054625,55.84108,-4.45363
RC053890,55.84076,-4.46959
RC053155,55.84044,-4.48555
RC052430,55.84011,-4.50152
RC052431,55.83113,-4.50094
RC051706,55.83081,-4.5169
RC050981,55.83048,-4.53286
RC050982,55.8215,-4.53228
RC050264,55.82117,-4.54823
RC050265,55.81219,-4.54765
RC049552,55.81185,-4.5636
RC048853,55.80254,-4.57895
RC048161,55.8022,-4.5949
RC048162,55.79322,-4.5943
RC047475,55.79289,-4.61025
RC047476,55.7839,-4.60965
RC046784,55.78356,-4.62558
RC046785,55.77458,-4.62498
RC046081,55.77424,-4.64092
RC046082,55.76526,-4.64031
RC045389,55.75594,-4.65563
RC045388,55.76492,-4.65624
RC045390,55.74696,-4.65502
RC044708,55.74661,-4.67094
RC044709,55.73763,-4.67033
RC044033,55.73728,-4.68625
RC044034,55.7283,-4.68563
RC043367,55.72795,-4.70155
RC043368,55.71897,-4.70093
RC043369,55.70999,-4.70031
RC042702,55.70964,-4.71621
RC042703,55.70066,-4.71559
RC042704,55.69168,-4.71497
RC042705,55.6827,-4.71434
RC042706,55.67372,-4.71372
RC042707,55.66474,-4.7131
RC042708,55.65576,-4.71248
RC042709,55.64678,-4.71186
RC043376,55.64713,-4.69598
RC043377,55.63815,-4.69536
RC044045,55.62952,-4.67887
RC044046,55.62054,-4.67825
RC044047,55.61156,-4.67764
RC044726,55.58496,-4.65995
RC044727,55.57598,-4.65934
RC044728,55.567,-4.65873
RC044730,55.54904,-4.65752
RC044731,55.54006,-4.65691
RC045414,55.53142,-4.64047
RC046109,55.52278,-4.62404
RC046110,55.5138,-4.62344
RC046814,55.51413,-4.60761
RC046815,55.50515,-4.60701
RC046113,55.48685,-4.62165
RC046114,55.47787,-4.62105
RC046116,55.45991,-4.61986
RC160955,53.47356,-2.18896
RC192749,53.27422,-1.37774
RC193238,53.27414,-1.36274
RC193731,53.27406,-1.34773
RC193732,53.26507,-1.34787
RC194212,53.26499,-1.33287
RC194213,53.25599,-1.33301
RC197981,53.26426,-1.21285
RC200989,51.24886,-1.16172
RC200531,51.24897,-1.17605
RC200530,51.25796,-1.17589
RC200072,51.25806,-1.19023
RC199605,51.25816,-1.20457
RC199138,51.25826,-1.21891
RC199139,51.24926,-1.21906
RC198671,51.25835,-1.23325
RC198204,51.25844,-1.24759
RC197737,51.25854,-1.26193
RC197738,51.24954,-1.26207
RC197271,51.24963,-1.27641
RC196800,51.24972,-1.29075
RC196801,51.24072,-1.29089
RC196330,51.24081,-1.30522
RC195859,51.24089,-1.31955
RC195388,51.24097,-1.33389
RC194917,51.24105,-1.34822
RC194437,51.24113,-1.36256
RC193957,51.24121,-1.37689
RC193464,51.24128,-1.39122
RC193465,51.23229,-1.39134
RC192976,51.23236,-1.40568
RC192487,51.23243,-1.42001
RC192488,51.22344,-1.42012
RC191985,51.22351,-1.43445
RC191482,51.22358,-1.44878
RC190979,51.22364,-1.46311
RC190476,51.22371,-1.47744
RC190477,51.21471,-1.47754
RC189974,51.21477,-1.49187
RC189975,51.20578,-1.49196
RC189472,51.20584,-1.50629
RC188974,51.2059,-1.52061
RC188476,51.20596,-1.53494
RC188477,51.19696,-1.53503
RC187952,51.19701,-1.54935
RC187953,51.18802,-1.54943
RC187432,51.18807,-1.56375
RC187433,51.17908,-1.56384
RC186907,51.17913,-1.57815
RC186364,51.17918,-1.59247
RC186365,51.17018,-1.59255
RC185822,51.17023,-1.60686
RC185279,51.17028,-1.62117
RC184736,51.17032,-1.63549
RC184737,51.16133,-1.63556
RC184194,51.16137,-1.64987
RC183647,51.16141,-1.66418
RC183648,51.15241,-1.66424
RC183105,51.15246,-1.67855
RC183106,51.14346,-1.67861
RC182554,51.1435,-1.69292
RC182003,51.13454,-1.70728
RC181447,51.13457,-1.72158
RC181448,51.12557,-1.72164
RC180892,51.12561,-1.73594
RC180893,51.11661,-1.73599
RC180338,51.10764,-1.75033
RC180339,51.09865,-1.75038
RC179783,51.09868,-1.76467
RC179784,51.08968,-1.76472
RC179215,51.08971,-1.77901
RC179216,51.08071,-1.77905
RC178647,51.08074,-1.79333
RC178648,51.07174,-1.79337
RC177496,51.07179,-1.82194
RC177495,51.08078,-1.82191
RC176908,51.0808,-1.83619
RC176317,51.08082,-1.85048
RC175726,51.08084,-1.86476
RC175113,51.08086,-1.87905
RC174500,51.08087,-1.89333
RC173878,51.08088,-1.90762
RC173247,51.08089,-1.9219
RC172616,51.0809,-1.93619
RC171985,51.08091,-1.95048
RC171354,51.08091,-1.96476
RC170087,51.08092,-1.99333
RC169452,51.07192,-2.00762
RC168785,51.07192,-2.0219
RC168786,51.06292,-2.0219
RC168119,51.06292,-2.03618
RC168118,51.07192,-2.03618
RC167442,51.07191,-2.05047
RC167443,51.06291,-2.05046
RC166767,51.06291,-2.06474
RC166091,51.0629,-2.07902
RC166092,51.0539,-2.079
RC165407,51.05389,-2.09328
RC164722,51.05388,-2.10756
RC164723,51.04488,-2.10754
RC164025,51.04487,-2.12181
RC163327,51.04485,-2.13608
RC162629,51.04483,-2.15036
RC161927,51.04481,-2.16463
RC161226,51.0358,-2.17887
RC161225,51.04479,-2.17891
RC160528,51.03577,-2.19315
RC159830,51.03575,-2.20742
RC159132,51.03572,-2.22169
RC158428,51.04469,-2.23601
RC157729,51.04466,-2.25028
RC157027,51.03563,-2.2645
RC156324,51.0356,-2.27878
RC156325,51.0266,-2.27872
RC155622,51.02657,-2.29299
RC154910,51.02653,-2.30726
RC154198,51.02649,-2.32153
RC154199,51.0175,-2.32147
RC153487,51.01746,-2.33573
RC152775,51.01741,-2.35
RC152054,51.01737,-2.36426
RC150613,51.00828,-2.39272
RC149875,51.00823,-2.40698
RC149876,50.99923,-2.4069
RC149138,50.99918,-2.42116
RC148395,50.99913,-2.43542
RC147652,50.99908,-2.44968
RC147653,50.99008,-2.4496
RC146910,50.99002,-2.46385
RC146911,50.98103,-2.46376
RC146155,50.98097,-2.47802
RC146156,50.97197,-2.47793
RC145400,50.97191,-2.49218
RC145401,50.96292,-2.49208
RC145402,50.95392,-2.49199
RC144646,50.95386,-2.50623
RC144647,50.94486,-2.50614
RC143885,50.9448,-2.52038
RC143886,50.9358,-2.52028
RC141585,50.92661,-2.56289
RC140819,50.92654,-2.57713
RC140048,50.92647,-2.59137
RC139277,50.92639,-2.6056
RC138502,50.92632,-2.61984
RC138503,50.91732,-2.61972
RC138504,50.90832,-2.6196
RC137729,50.90825,-2.63384
RC137730,50.89925,-2.63371
RC136951,50.89917,-2.64794
RC136172,50.89909,-2.66217
RC136173,50.8901,-2.66204
RC135395,50.89001,-2.67627
RC134617,50.88993,-2.6905
RC134618,50.88093,-2.69036
RC133833,50.88085,-2.70459
RC133041,50.88076,-2.71881
RC133042,50.87177,-2.71867
RC132250,50.87168,-2.73289
RC131458,50.87159,-2.74711
RC130666,50.87149,-2.76133
RC129878,50.8714,-2.77555
RC129090,50.87131,-2.78977
RC128302,50.87121,-2.80399
RC128301,50.88021,-2.80415
RC127513,50.88011,-2.81837
RC127514,50.87111,-2.81821
RC126732,50.87101,-2.83243
RC126733,50.86201,-2.83227
RC126734,50.85302,-2.83211
RC125930,50.85291,-2.84633
RC125126,50.85281,-2.86054
RC124344,50.8527,-2.87476
RC123561,50.8526,-2.88897
RC122770,50.84349,-2.90301
RC121972,50.84338,-2.91722
RC121174,50.84327,-2.93143
RC120373,50.83416,-2.94546
RC120374,50.82516,-2.94528
RC119568,50.82504,-2.95949
RC119569,50.81605,-2.9593
RC118760,50.80693,-2.97332
RC117951,50.79782,-2.98733
RC117952,50.78882,-2.98714
RC117143,50.7797,-3.00114
RC116325,50.77059,-3.01514
RC115512,50.77046,-3.02933
RC115513,50.76146,-3.02913
RC114708,50.76134,-3.04331
RC113898,50.76121,-3.0575
RC113114,50.76108,-3.07169
RC113113,50.77008,-3.07189
RC112329,50.76995,-3.08608
RC112328,50.77894,-3.08629
RC112327,50.78794,-3.0865
RC111547,50.78781,-3.10069
RC111546,50.7968,-3.1009
RC110789,50.79667,-3.1151
RC110788,50.80566,-3.11531
RC110022,50.80553,-3.12951
RC109256,50.80539,-3.14371
RC108486,50.80525,-3.15791
RC107730,50.80511,-3.17211
RC106974,50.80496,-3.1863
RC106975,50.79597,-3.18608
RC106219,50.79582,-3.20027
RC105464,50.78668,-3.21423
RC104703,50.78653,-3.22843
RC103951,50.78638,-3.24262
RC103200,50.78623,-3.25681
RC103201,50.77723,-3.25657
RC102450,50.77708,-3.27076
RC102449,50.78607,-3.271
RC101697,50.78592,-3.2852
RC100945,50.78576,-3.29939
RC100197,50.7856,-3.31358
RC099445,50.78544,-3.32777
RC098697,50.78528,-3.34196
RC098698,50.77628,-3.34171
RC098699,50.76729,-3.34145
RC097965,50.76712,-3.35563
RC097239,50.76696,-3.36982
RC096519,50.7578,-3.38374
RC095786,50.75763,-3.39792
RC095057,50.75746,-3.41211
RC095058,50.74846,-3.41184
RC094329,50.74829,-3.42602
RC093595,50.74811,-3.4402
RC093596,50.73912,-3.43992
RC092855,50.73894,-3.4541
RC092103,50.73877,-3.46827
RC091355,50.73859,-3.48245
RC090593,50.73841,-3.49663
RC090594,50.72941,-3.49634
RC089832,50.72923,-3.51051
RC089089,50.72904,-3.52469
RC088342,50.72886,-3.53886
RC173723,52.47529,-1.90473
RC173092,52.47531,-1.91946
RC173093,52.46631,-1.91948
RC172462,52.46632,-1.93421
RC172463,52.45732,-1.93422
RC172464,52.44833,-1.93423
RC172465,52.43933,-1.93425
RC172466,52.43034,-1.93426
RC173097,52.43033,-1.91954
RC173098,52.42133,-1.91956
RC172468,52.41235,-1.93429
RC171837,52.41236,-1.949
RC171206,52.41236,-1.96371
